,0
0,DPO_ta_19
1,MFI_ta_18
2,CMO_talib_19
3,DPO_ta_9
4,CCI_ta_7
5,ROC_ta_9
6,MFI_ta_15
7,MACD_ta_16
8,CMO_talib_8
9,MACD_ta_10
10,PPO_ta_12
11,TSI_ta_11
12,BBW_ta_7
13,AWSM_ta_9
14,AWSM_ta_16
15,CMF_ta_14
16,CMO_talib_13
17,BBW_ta_6
18,CMF_ta_15
19,WILLR_ta_9
20,CCI_ta_10
21,DX_talib_16
22,RSI_ta_9
23,MFI_ta_10
24,UI_ta_10
25,PPO_ta_20
26,DPO_ta_14
27,RSI_ta_11
28,CMF_ta_17
29,CMF_ta_20
30,TSI_ta_7
31,ADX_ta_9
32,ADX_ta_7
33,CCI_ta_13
34,CMO_talib_11
35,CMO_talib_6
36,TSI_ta_15
37,DPO_ta_16
38,PPO_ta_13
39,MFI_ta_9
40,DPO_ta_13
41,DX_talib_19
42,TRIX_talib_9
43,ADX_ta_12
44,DX_talib_11
45,CCI_ta_20
46,DX_talib_18
47,RSI_ta_6
48,MFI_ta_12
49,UI_ta_15
50,UI_ta_8
51,DPO_ta_6
52,UI_ta_13
53,RSI_ta_20
54,DPO_ta_12
55,MACD_ta_6
56,RSI_ta_13
57,WILLR_ta_12
58,CCI_ta_15
59,CMO_talib_20
60,UI_ta_14
61,TSI_ta_13
62,RSI_ta_8
63,MACD_ta_18
64,ROC_ta_13
65,CMF_ta_12
66,MACD_ta_20
67,ADX_ta_11
68,AWSM_ta_8
69,ROC_ta_20
70,DX_talib_8
71,PPO_ta_8
72,MFI_ta_17
73,DX_talib_12
74,DX_talib_15
75,CMO_talib_16
76,DX_talib_20
77,UI_ta_11
78,RSI_ta_12
79,MFI_ta_8
80,TSI_ta_18
81,UI_ta_12
82,WILLR_ta_19
83,MACD_ta_15
84,TEMA_talib_6
85,CMO_talib_7
86,CMO_talib_10
87,TSI_ta_6
88,PPO_ta_14
89,DPO_ta_17
90,CMF_ta_18
91,WILLR_ta_7
92,UI_ta_17
93,RSI_ta_18
94,PPO_ta_7
95,MACD_ta_9
96,TRIX_talib_7
97,TRIX_talib_8
98,ADX_ta_13
99,DX_talib_17
100,PPO_ta_18
101,TSI_ta_20
102,CMO_talib_15
103,CMO_talib_17
104,TSI_ta_16
105,BBW_ta_8
106,DX_talib_13
107,RSI_ta_19
108,WILLR_ta_18
109,TRIX_talib_14
110,BBW_ta_9
111,CCI_ta_9
112,CMO_talib_18
113,ROC_ta_18
114,MFI_ta_11
115,UI_ta_16
116,ADX_ta_6
117,UI_ta_7
118,UI_ta_6
119,CCI_ta_8
120,CCI_ta_18
121,ROC_ta_12
122,TSI_ta_19
123,TSI_ta_12
124,RSI_ta_10
125,TRIX_talib_10
126,ROC_ta_19
127,TSI_ta_8
128,CCI_ta_14
129,WILLR_ta_13
130,PPO_ta_17
131,CCI_ta_11
132,DPO_ta_11
133,CMF_ta_8
134,WILLR_ta_10
135,CMO_talib_9
136,MFI_ta_16
137,TRIX_talib_11
138,UI_ta_9
139,CMO_talib_12
140,ADX_ta_8
141,DX_talib_10
142,ROC_ta_6
143,CMF_ta_9
144,TRIX_talib_13
145,ROC_ta_8
146,DPO_ta_18
147,MACD_ta_11
148,AWSM_ta_10
149,ROC_ta_10
150,MACD_ta_17
151,CMF_ta_6
152,PPO_ta_19
153,CMF_ta_10
154,PPO_ta_15
155,RSI_ta_7
156,WILLR_ta_17
157,CCI_ta_17
158,MACD_ta_13
159,ROC_ta_16
160,ADX_ta_10
161,CMF_ta_7
162,CCI_ta_19
163,AWSM_ta_11
164,DX_talib_9
165,CMF_ta_13
166,TRIX_talib_12
167,MFI_ta_6
168,AWSM_ta_13
169,AWSM_ta_7
170,TSI_ta_10
171,CMF_ta_19
172,DPO_ta_10
173,TSI_ta_14
174,CCI_ta_12
175,CMF_ta_11
176,CMO_talib_14
177,AWSM_ta_12
178,PPO_ta_11
179,MACD_ta_12
180,MFI_ta_13
181,ROC_ta_7
182,RSI_ta_17
183,AWSM_ta_14
184,CCI_ta_16
185,WILLR_ta_8
186,MACD_ta_14
187,CCI_ta_6
188,PPO_ta_6
189,CMF_ta_16
190,PPO_ta_9
191,ROC_ta_15
192,MFI_ta_7
193,ROC_ta_11
194,DPO_ta_8
195,ROC_ta_14
196,MACD_ta_8
197,MACD_ta_7
198,DX_talib_7
199,WILLR_ta_14
200,MFI_ta_19
201,PPO_ta_10
202,TSI_ta_17
203,MFI_ta_14
204,DX_talib_6
205,DPO_ta_15
206,WILLR_ta_20
207,TRIX_talib_15
208,AWSM_ta_15
209,WILLR_ta_16
210,RSI_ta_15
211,WILLR_ta_6
212,RSI_ta_16
213,WILLR_ta_15
214,WILLR_ta_11
215,TRIX_talib_6
216,MFI_ta_20
217,PPO_ta_16
218,RSI_ta_14
219,DPO_ta_7
220,MACD_ta_19
221,AWSM_ta_6
222,TSI_ta_9
223,ROC_ta_17
224,DX_talib_14
