,0
0,ROC_ta_17
1,DX_talib_15
2,MFI_ta_6
3,CCI_ta_11
4,PPO_ta_10
5,AWSM_ta_16
6,DX_talib_7
7,DPO_ta_15
8,UI_ta_11
9,DEMA_talib_13
10,WILLR_ta_7
11,MFI_ta_20
12,TRIX_talib_17
13,DPO_ta_8
14,TSI_ta_14
15,DEMA_talib_6
16,WILLR_ta_9
17,CMO_talib_14
18,UI_ta_15
19,WILLR_ta_19
20,ADX_ta_13
21,CCI_ta_18
22,PPO_ta_6
23,PPO_ta_8
24,MFI_ta_15
25,DEMA_talib_9
26,WILLR_ta_10
27,CMO_talib_10
28,DEMA_talib_18
29,RSI_ta_20
30,ROC_ta_19
31,DPO_ta_11
32,TRIX_talib_6
33,KAMA_talib_7
34,AWSM_ta_17
35,TSI_ta_13
36,DX_talib_14
37,ROC_ta_15
38,DPO_ta_18
39,KAMA_talib_8
40,TRIX_talib_18
41,AWSM_ta_11
42,MFI_ta_14
43,KAMA_talib_6
44,CMO_talib_9
45,BBW_ta_10
46,BBW_ta_20
47,DX_talib_6
48,UI_ta_18
49,ADX_ta_10
50,DEMA_talib_19
51,MFI_ta_17
52,TSI_ta_18
53,CCI_ta_17
54,DPO_ta_14
55,PPO_ta_13
56,DX_talib_9
57,BBW_ta_6
58,TRIX_talib_14
59,HMA_7
60,DEMA_talib_20
61,CCI_ta_10
62,RSI_ta_19
63,DEMA_talib_8
64,TRIX_talib_19
65,MACD_ta_13
66,DPO_ta_20
67,CMF_ta_16
68,CMF_ta_17
69,CMO_talib_20
70,CCI_ta_12
71,WILLR_ta_13
72,UI_ta_12
73,UI_ta_14
74,TRIX_talib_11
75,DPO_ta_7
76,PPO_ta_15
77,DEMA_talib_10
78,AWSM_ta_14
79,ROC_ta_20
80,CMF_ta_19
81,TSI_ta_12
82,CMF_ta_7
83,RSI_ta_16
84,CMF_ta_18
85,CCI_ta_13
86,BBW_ta_7
87,CMF_ta_9
88,DPO_ta_12
89,AWSM_ta_12
90,CMF_ta_11
91,PPO_ta_11
92,RSI_ta_13
93,WILLR_ta_17
94,CMF_ta_12
95,TSI_ta_19
96,DPO_ta_9
97,RSI_ta_10
98,DPO_ta_17
99,WILLR_ta_6
100,DEMA_talib_17
101,WILLR_ta_20
102,TRIX_talib_16
103,MACD_ta_8
104,UI_ta_8
105,ROC_ta_13
106,MFI_ta_13
107,CMO_talib_16
108,CMO_talib_6
109,TSI_ta_9
110,TSI_ta_11
111,UI_ta_17
112,TRIX_talib_10
113,UI_ta_16
114,AWSM_ta_15
115,CMO_talib_17
116,RSI_ta_14
117,MFI_ta_16
118,DPO_ta_19
119,UI_ta_6
120,DX_talib_18
121,CMF_ta_10
122,DPO_ta_6
123,DX_talib_17
124,PPO_ta_9
125,TSI_ta_8
126,DEMA_talib_15
127,PPO_ta_7
128,UI_ta_20
129,CMF_ta_15
130,CCI_ta_9
131,UI_ta_9
132,BBW_ta_15
133,DX_talib_10
134,BBW_ta_12
135,CMO_talib_19
136,ROC_ta_6
137,TRIX_talib_20
138,CMF_ta_8
139,CCI_ta_15
140,CMO_talib_11
141,ROC_ta_8
142,AWSM_ta_8
143,MFI_ta_18
144,MFI_ta_8
145,ADX_ta_14
146,CMF_ta_20
147,ADX_ta_8
148,ADX_ta_9
149,AWSM_ta_7
150,CMO_talib_13
151,UI_ta_10
152,BBW_ta_13
153,WILLR_ta_16
154,ROC_ta_7
155,DEMA_talib_7
156,CMO_talib_18
157,AWSM_ta_19
158,ROC_ta_12
159,TSI_ta_7
160,TRIX_talib_8
161,AWSM_ta_18
162,RSI_ta_9
163,WILLR_ta_8
164,DPO_ta_10
165,TSI_ta_15
166,CMO_talib_8
167,MACD_ta_9
168,MFI_ta_19
169,UI_ta_19
170,BBW_ta_11
171,DX_talib_8
172,AWSM_ta_6
173,DEMA_talib_14
174,TRIX_talib_15
175,RSI_ta_7
176,RSI_ta_8
177,RSI_ta_6
178,TRIX_talib_12
179,ROC_ta_18
180,AWSM_ta_20
181,AWSM_ta_10
182,TRIX_talib_7
183,CCI_ta_6
184,CCI_ta_20
185,BBW_ta_9
186,DX_talib_16
187,ROC_ta_10
188,BBW_ta_18
189,MFI_ta_7
190,ROC_ta_11
191,MACD_ta_6
192,CMO_talib_12
193,TSI_ta_20
194,MACD_ta_7
195,BBW_ta_14
196,MACD_ta_17
197,ROC_ta_9
198,ADX_ta_12
199,MFI_ta_9
200,DX_talib_19
201,BBW_ta_17
202,CMF_ta_13
203,DEMA_talib_11
204,CMO_talib_15
205,TSI_ta_16
206,CCI_ta_7
207,DPO_ta_16
208,DX_talib_13
209,WILLR_ta_14
210,TSI_ta_17
211,DPO_ta_13
212,WILLR_ta_15
213,RSI_ta_17
214,TRIMA_talib_6
215,MFI_ta_10
216,CCI_ta_19
217,BBW_ta_8
218,WILLR_ta_18
219,AWSM_ta_9
220,DX_talib_12
221,PPO_ta_16
222,MACD_ta_11
223,RSI_ta_11
224,DEMA_talib_12
