,0
0,WILLR_ta_10
1,UI_ta_13
2,ADX_ta_10
3,MFI_ta_16
4,MFI_ta_20
5,WILLR_ta_13
6,BBW_ta_8
7,CMF_ta_12
8,WILLR_ta_15
9,WILLR_ta_19
10,MACD_ta_10
11,CMF_ta_9
12,UI_ta_8
13,AWSM_ta_9
14,CCI_ta_15
15,MACD_ta_15
16,UI_ta_10
17,MACD_ta_14
18,TSI_ta_20
19,PPO_ta_9
20,AWSM_ta_14
21,CMO_talib_7
22,ROC_ta_20
23,TRIX_talib_13
24,CCI_ta_14
25,CMO_talib_8
26,CMF_ta_17
27,RSI_ta_8
28,ROC_ta_6
29,DX_talib_15
30,MACD_ta_20
31,PPO_ta_19
32,DX_talib_17
33,WILLR_ta_16
34,DX_talib_10
35,DPO_ta_19
36,RSI_ta_13
37,CMO_talib_9
38,AWSM_ta_7
39,TSI_ta_10
40,UI_ta_15
41,ADX_ta_9
42,MACD_ta_12
43,RSI_ta_10
44,TSI_ta_19
45,CMF_ta_13
46,RSI_ta_14
47,MACD_ta_8
48,RSI_ta_11
49,CCI_ta_20
50,TRIX_talib_8
51,MFI_ta_9
52,DX_talib_14
53,MACD_ta_11
54,TSI_ta_8
55,UI_ta_11
56,MFI_ta_10
57,ROC_ta_12
58,ROC_ta_10
59,RSI_ta_15
60,CCI_ta_9
61,PPO_ta_8
62,RSI_ta_16
63,ROC_ta_8
64,UI_ta_17
65,CMF_ta_19
66,ADX_ta_11
67,RSI_ta_17
68,CMO_talib_14
69,CMO_talib_6
70,MFI_ta_11
71,CMF_ta_8
72,CMO_talib_10
73,TRIX_talib_11
74,PPO_ta_12
75,RSI_ta_19
76,AWSM_ta_12
77,DX_talib_19
78,DX_talib_12
79,TSI_ta_15
80,WILLR_ta_20
81,TSI_ta_7
82,ADX_ta_12
83,PPO_ta_18
84,CCI_ta_16
85,RSI_ta_9
86,PPO_ta_20
87,MACD_ta_17
88,CCI_ta_7
89,UI_ta_12
90,DPO_ta_7
91,PPO_ta_13
92,WILLR_ta_17
93,TSI_ta_12
94,CMO_talib_13
95,DX_talib_20
96,ROC_ta_14
97,CCI_ta_11
98,UI_ta_16
99,MACD_ta_7
100,MACD_ta_18
101,AWSM_ta_11
102,MFI_ta_19
103,RSI_ta_12
104,AWSM_ta_16
105,CMO_talib_18
106,MACD_ta_9
107,DPO_ta_12
108,MACD_ta_13
109,AWSM_ta_8
110,DPO_ta_16
111,TSI_ta_17
112,WILLR_ta_6
113,CMO_talib_16
114,AWSM_ta_6
115,WILLR_ta_12
116,TSI_ta_18
117,TEMA_talib_6
118,CMF_ta_18
119,PPO_ta_15
120,TSI_ta_9
121,TRIX_talib_14
122,ADX_ta_8
123,DPO_ta_11
124,DPO_ta_17
125,MFI_ta_18
126,UI_ta_9
127,CCI_ta_10
128,ROC_ta_9
129,TSI_ta_13
130,DX_talib_11
131,ADX_ta_13
132,TRIX_talib_9
133,PPO_ta_11
134,MACD_ta_19
135,PPO_ta_17
136,TSI_ta_6
137,WILLR_ta_8
138,ROC_ta_16
139,ROC_ta_13
140,ROC_ta_17
141,CMF_ta_14
142,CMF_ta_6
143,WILLR_ta_18
144,DX_talib_16
145,TRIX_talib_10
146,DX_talib_7
147,DPO_ta_9
148,DX_talib_18
149,DPO_ta_18
150,RSI_ta_7
151,PPO_ta_7
152,CMF_ta_15
153,MFI_ta_12
154,PPO_ta_6
155,CMO_talib_20
156,MFI_ta_7
157,WILLR_ta_14
158,ROC_ta_19
159,DX_talib_13
160,CCI_ta_12
161,CCI_ta_13
162,DX_talib_6
163,WILLR_ta_7
164,MFI_ta_8
165,TSI_ta_11
166,BBW_ta_9
167,CMF_ta_16
168,RSI_ta_20
169,MFI_ta_13
170,UI_ta_7
171,PPO_ta_14
172,PPO_ta_16
173,CCI_ta_18
174,CMF_ta_7
175,MFI_ta_14
176,ROC_ta_15
177,DX_talib_9
178,TRIX_talib_6
179,ROC_ta_7
180,AWSM_ta_15
181,DPO_ta_14
182,CMF_ta_20
183,DPO_ta_6
184,MFI_ta_15
185,CMF_ta_10
186,AWSM_ta_10
187,MFI_ta_17
188,CMO_talib_17
189,MACD_ta_6
190,RSI_ta_6
191,BBW_ta_6
192,CMO_talib_15
193,ROC_ta_18
194,CCI_ta_19
195,AWSM_ta_13
196,CMO_talib_11
197,MFI_ta_6
198,CMO_talib_19
199,ADX_ta_6
200,ADX_ta_7
201,TRIX_talib_15
202,RSI_ta_18
203,DX_talib_8
204,CCI_ta_6
205,CCI_ta_8
206,PPO_ta_10
207,DPO_ta_13
208,TRIX_talib_7
209,CCI_ta_17
210,CMO_talib_12
211,TSI_ta_14
212,DPO_ta_8
213,DPO_ta_15
214,TRIX_talib_12
215,WILLR_ta_11
216,BBW_ta_7
217,WILLR_ta_9
218,UI_ta_6
219,UI_ta_14
220,CMF_ta_11
221,DPO_ta_10
222,MACD_ta_16
223,TSI_ta_16
224,ROC_ta_11
