,0
0,UI_ta_17
1,CMF_ta_6
2,PPO_ta_10
3,WILLR_ta_10
4,CCI_ta_11
5,RSI_ta_17
6,TSI_ta_7
7,AWSM_ta_11
8,DEMA_talib_8
9,DX_talib_8
10,TSI_ta_8
11,MACD_ta_18
12,CMO_talib_9
13,TSI_ta_20
14,DPO_ta_11
15,AWSM_ta_15
16,CMO_talib_17
17,UI_ta_6
18,PPO_ta_15
19,MFI_ta_9
20,CMO_talib_16
21,MFI_ta_19
22,UI_ta_20
23,DX_talib_10
24,AWSM_ta_7
25,MFI_ta_6
26,CMO_talib_13
27,MACD_ta_9
28,TRIX_talib_8
29,WILLR_ta_20
30,RSI_ta_18
31,CMO_talib_6
32,CMO_talib_12
33,MFI_ta_14
34,MACD_ta_7
35,CMF_ta_15
36,KAMA_talib_6
37,DX_talib_12
38,UI_ta_10
39,TRIX_talib_11
40,DPO_ta_13
41,DEMA_talib_15
42,AWSM_ta_20
43,DPO_ta_7
44,CCI_ta_8
45,AWSM_ta_17
46,AWSM_ta_12
47,RSI_ta_8
48,CCI_ta_15
49,CMO_talib_14
50,MFI_ta_7
51,CMF_ta_20
52,DPO_ta_14
53,RSI_ta_10
54,CCI_ta_20
55,ROC_ta_13
56,DEMA_talib_18
57,TRIX_talib_15
58,HMA_6
59,TRIX_talib_10
60,CCI_ta_6
61,AWSM_ta_8
62,RSI_ta_15
63,PPO_ta_12
64,AWSM_ta_6
65,TRIX_talib_20
66,UI_ta_14
67,TSI_ta_15
68,RSI_ta_12
69,CMF_ta_16
70,TSI_ta_9
71,BBW_ta_8
72,CMF_ta_12
73,MACD_ta_6
74,RSI_ta_6
75,WILLR_ta_14
76,DEMA_talib_17
77,BBW_ta_6
78,CMF_ta_19
79,DPO_ta_18
80,WILLR_ta_17
81,CCI_ta_17
82,PPO_ta_6
83,TSI_ta_16
84,DEMA_talib_7
85,TRIX_talib_18
86,ROC_ta_8
87,ADX_ta_14
88,MFI_ta_17
89,CMO_talib_20
90,DEMA_talib_6
91,CMO_talib_8
92,TSI_ta_14
93,BBW_ta_20
94,DX_talib_7
95,BBW_ta_10
96,MFI_ta_11
97,AWSM_ta_18
98,ROC_ta_15
99,TSI_ta_6
100,DX_talib_9
101,RSI_ta_11
102,CMO_talib_10
103,MFI_ta_20
104,DX_talib_16
105,DPO_ta_16
106,ROC_ta_12
107,AWSM_ta_9
108,CMO_talib_11
109,UI_ta_7
110,CMO_talib_15
111,DEMA_talib_16
112,BBW_ta_7
113,RSI_ta_20
114,CCI_ta_16
115,MACD_ta_8
116,DPO_ta_19
117,BBW_ta_19
118,DPO_ta_15
119,MACD_ta_17
120,DX_talib_17
121,MACD_ta_13
122,ROC_ta_7
123,CMF_ta_11
124,CCI_ta_10
125,ROC_ta_11
126,CMF_ta_9
127,CCI_ta_18
128,ROC_ta_19
129,TRIX_talib_13
130,MFI_ta_18
131,UI_ta_9
132,PPO_ta_13
133,WILLR_ta_19
134,TRIX_talib_17
135,TRIX_talib_9
136,TRIX_talib_14
137,CCI_ta_9
138,DPO_ta_8
139,TRIX_talib_12
140,DEMA_talib_12
141,CCI_ta_19
142,MACD_ta_19
143,CCI_ta_12
144,MFI_ta_10
145,RSI_ta_14
146,BBW_ta_11
147,UI_ta_13
148,AWSM_ta_14
149,PPO_ta_7
150,MFI_ta_16
151,UI_ta_12
152,TRIX_talib_16
153,CMO_talib_7
154,TRIX_talib_19
155,AWSM_ta_10
156,DEMA_talib_9
157,WILLR_ta_12
158,PPO_ta_9
159,ROC_ta_6
160,ADX_ta_10
161,RSI_ta_19
162,CMF_ta_13
163,CCI_ta_13
164,UI_ta_15
165,TSI_ta_17
166,DEMA_talib_19
167,WILLR_ta_7
168,TRIX_talib_6
169,MACD_ta_10
170,DPO_ta_9
171,TSI_ta_12
172,CMF_ta_7
173,DEMA_talib_13
174,DX_talib_15
175,DPO_ta_17
176,DX_talib_13
177,RSI_ta_9
178,DX_talib_18
179,AWSM_ta_19
180,RSI_ta_13
181,MFI_ta_15
182,CMF_ta_18
183,DEMA_talib_10
184,TSI_ta_18
185,BBW_ta_16
186,CMO_talib_18
187,DPO_ta_12
188,ROC_ta_17
189,ROC_ta_10
190,CMF_ta_17
191,DEMA_talib_14
192,ADX_ta_8
193,TSI_ta_11
194,DX_talib_20
195,CCI_ta_7
196,ROC_ta_14
197,TSI_ta_13
198,WILLR_ta_11
199,DX_talib_14
200,BBW_ta_9
201,DX_talib_19
202,WILLR_ta_16
203,AWSM_ta_16
204,CMF_ta_10
205,DPO_ta_20
206,MACD_ta_12
207,UI_ta_18
208,DPO_ta_6
209,ROC_ta_18
210,ADX_ta_9
211,TRIX_talib_7
212,UI_ta_8
213,DX_talib_6
214,DX_talib_11
215,WILLR_ta_18
216,MFI_ta_8
217,WILLR_ta_6
218,BBW_ta_18
219,ROC_ta_9
220,ADX_ta_20
221,UI_ta_11
222,CMO_talib_19
223,UI_ta_16
224,CCI_ta_14
