,0
0,RSI_ta_6
1,RSI_ta_7
2,RSI_ta_8
3,RSI_ta_9
4,RSI_ta_10
5,RSI_ta_11
6,RSI_ta_12
7,RSI_ta_13
8,RSI_ta_14
9,RSI_ta_15
10,RSI_ta_16
11,RSI_ta_17
12,RSI_ta_18
13,RSI_ta_19
14,RSI_ta_20
15,WILLR_ta_6
16,WILLR_ta_7
17,WILLR_ta_8
18,WILLR_ta_9
19,WILLR_ta_10
20,WILLR_ta_11
21,WILLR_ta_12
22,WILLR_ta_13
23,WILLR_ta_14
24,WILLR_ta_15
25,WILLR_ta_16
26,WILLR_ta_17
27,WILLR_ta_18
28,WILLR_ta_19
29,WILLR_ta_20
30,TEMA_talib_6
31,CCI_ta_6
32,CCI_ta_7
33,CCI_ta_8
34,CCI_ta_9
35,CCI_ta_10
36,CCI_ta_11
37,CCI_ta_12
38,CCI_ta_13
39,CCI_ta_14
40,CCI_ta_15
41,CCI_ta_16
42,CCI_ta_17
43,CCI_ta_18
44,CCI_ta_19
45,CCI_ta_20
46,CMO_talib_6
47,CMO_talib_7
48,CMO_talib_8
49,CMO_talib_9
50,CMO_talib_10
51,CMO_talib_11
52,CMO_talib_12
53,CMO_talib_13
54,CMO_talib_14
55,CMO_talib_15
56,CMO_talib_16
57,CMO_talib_17
58,CMO_talib_18
59,CMO_talib_19
60,CMO_talib_20
61,MACD_ta_6
62,MACD_ta_7
63,MACD_ta_8
64,MACD_ta_9
65,MACD_ta_10
66,MACD_ta_11
67,MACD_ta_12
68,MACD_ta_13
69,MACD_ta_14
70,MACD_ta_15
71,MACD_ta_16
72,MACD_ta_17
73,MACD_ta_18
74,MACD_ta_19
75,MACD_ta_20
76,PPO_ta_6
77,PPO_ta_7
78,PPO_ta_8
79,PPO_ta_9
80,PPO_ta_10
81,PPO_ta_11
82,PPO_ta_12
83,PPO_ta_13
84,PPO_ta_14
85,PPO_ta_15
86,PPO_ta_16
87,PPO_ta_17
88,PPO_ta_18
89,PPO_ta_19
90,PPO_ta_20
91,ROC_ta_6
92,ROC_ta_7
93,ROC_ta_8
94,ROC_ta_9
95,ROC_ta_10
96,ROC_ta_11
97,ROC_ta_12
98,ROC_ta_13
99,ROC_ta_14
100,ROC_ta_15
101,ROC_ta_16
102,ROC_ta_17
103,ROC_ta_18
104,ROC_ta_19
105,ROC_ta_20
106,ADX_ta_6
107,ADX_ta_7
108,ADX_ta_8
109,ADX_ta_9
110,ADX_ta_10
111,ADX_ta_11
112,ADX_ta_12
113,ADX_ta_13
114,MFI_ta_6
115,MFI_ta_7
116,MFI_ta_8
117,MFI_ta_9
118,MFI_ta_10
119,MFI_ta_11
120,MFI_ta_12
121,MFI_ta_13
122,MFI_ta_14
123,MFI_ta_15
124,MFI_ta_16
125,MFI_ta_17
126,MFI_ta_18
127,MFI_ta_19
128,MFI_ta_20
129,TSI_ta_6
130,TSI_ta_7
131,TSI_ta_8
132,TSI_ta_9
133,TSI_ta_10
134,TSI_ta_11
135,TSI_ta_12
136,TSI_ta_13
137,TSI_ta_14
138,TSI_ta_15
139,TSI_ta_16
140,TSI_ta_17
141,TSI_ta_18
142,TSI_ta_19
143,TSI_ta_20
144,UI_ta_6
145,UI_ta_7
146,UI_ta_8
147,UI_ta_9
148,UI_ta_10
149,UI_ta_11
150,UI_ta_12
151,UI_ta_13
152,UI_ta_14
153,UI_ta_15
154,UI_ta_16
155,UI_ta_17
156,BBW_ta_6
157,BBW_ta_7
158,BBW_ta_8
159,BBW_ta_9
160,DPO_ta_6
161,DPO_ta_7
162,DPO_ta_8
163,DPO_ta_9
164,DPO_ta_10
165,DPO_ta_11
166,DPO_ta_12
167,DPO_ta_13
168,DPO_ta_14
169,DPO_ta_15
170,DPO_ta_16
171,DPO_ta_17
172,DPO_ta_18
173,DPO_ta_19
174,CMF_ta_6
175,CMF_ta_7
176,CMF_ta_8
177,CMF_ta_9
178,CMF_ta_10
179,CMF_ta_11
180,CMF_ta_12
181,CMF_ta_13
182,CMF_ta_14
183,CMF_ta_15
184,CMF_ta_16
185,CMF_ta_17
186,CMF_ta_18
187,CMF_ta_19
188,CMF_ta_20
189,DX_talib_6
190,DX_talib_7
191,DX_talib_8
192,DX_talib_9
193,DX_talib_10
194,DX_talib_11
195,DX_talib_12
196,DX_talib_13
197,DX_talib_14
198,DX_talib_15
199,DX_talib_16
200,DX_talib_17
201,DX_talib_18
202,DX_talib_19
203,DX_talib_20
204,TRIX_talib_6
205,TRIX_talib_7
206,TRIX_talib_8
207,TRIX_talib_9
208,TRIX_talib_10
209,TRIX_talib_11
210,TRIX_talib_12
211,TRIX_talib_13
212,TRIX_talib_14
213,TRIX_talib_15
214,AWSM_ta_6
215,AWSM_ta_7
216,AWSM_ta_8
217,AWSM_ta_9
218,AWSM_ta_10
219,AWSM_ta_11
220,AWSM_ta_12
221,AWSM_ta_13
222,AWSM_ta_14
223,AWSM_ta_15
224,AWSM_ta_16
