,Date,Open,High,Low,Close,Adj Close,Volume,adjustRatio,Label
0,2004-08-19,2.5,2.6,2.4,2.51,2.51,893181924.0,1.0,-1
1,2004-08-20,2.53,2.73,2.52,2.71,2.71,456686856.0,1.0,-1
2,2004-08-23,2.77,2.84,2.73,2.74,2.74,365122512.0,1.0,-1
3,2004-08-24,2.78,2.79,2.59,2.62,2.62,304946748.0,1.0,-1
4,2004-08-25,2.63,2.7,2.6,2.65,2.65,183772044.0,1.0,-1
5,2004-08-26,2.63,2.7,2.62,2.7,2.7,141897960.0,1.0,0
6,2004-08-27,2.71,2.72,2.64,2.66,2.66,124235640.0,1.0,0
7,2004-08-30,2.63,2.64,2.55,2.55,2.55,103935960.0,1.0,0
8,2004-08-31,2.56,2.6,2.56,2.56,2.56,98357544.0,1.0,0
9,2004-09-01,2.57,2.58,2.49,2.51,2.51,182765052.0,1.0,0
10,2004-09-02,2.48,2.56,2.48,2.54,2.54,302373324.0,1.0,0
11,2004-09-03,2.53,2.55,2.49,2.5,2.5,103048848.0,1.0,1
12,2004-09-07,2.53,2.55,2.49,2.54,2.54,116950932.0,1.0,0
13,2004-09-08,2.52,2.58,2.52,2.56,2.56,99712188.0,1.0,0
14,2004-09-09,2.57,2.57,2.53,2.56,2.56,81234684.0,1.0,0
15,2004-09-10,2.54,2.67,2.54,2.64,2.64,173977848.0,1.0,0
16,2004-09-13,2.67,2.71,2.66,2.69,2.69,156882960.0,1.0,0
17,2004-09-14,2.69,2.8,2.67,2.79,2.79,216579204.0,1.0,0
18,2004-09-15,2.77,2.86,2.76,2.8,2.8,214261524.0,1.0,0
19,2004-09-16,2.81,2.9,2.79,2.85,2.85,185326488.0,1.0,0
20,2004-09-17,2.86,2.94,2.84,2.94,2.94,189450360.0,1.0,0
21,2004-09-20,2.93,3.04,2.92,2.99,2.99,212575212.0,1.0,0
22,2004-09-21,3.0,3.01,2.94,2.95,2.95,144575280.0,1.0,0
23,2004-09-22,2.94,2.99,2.92,2.96,2.96,151624224.0,1.0,0
24,2004-09-23,2.97,3.07,2.93,3.02,3.02,170713116.0,1.0,0
25,2004-09-24,3.03,3.11,3.0,3.0,3.0,182469348.0,1.0,0
26,2004-09-27,2.99,3.03,2.95,2.96,2.96,141322536.0,1.0,0
27,2004-09-28,3.04,3.19,3.01,3.17,3.17,338581080.0,1.0,0
28,2004-09-29,3.17,3.38,3.16,3.28,3.28,610329060.0,1.0,0
29,2004-09-30,3.25,3.31,3.23,3.24,3.24,275160564.0,1.0,0
30,2004-10-01,3.27,3.36,3.23,3.32,3.32,302497200.0,1.0,0
31,2004-10-04,3.38,3.43,3.35,3.38,3.38,260455284.0,1.0,0
32,2004-10-05,3.37,3.47,3.31,3.46,3.46,299464236.0,1.0,0
33,2004-10-06,3.44,3.46,3.4,3.43,3.43,267628104.0,1.0,0
34,2004-10-07,3.43,3.5,3.42,3.47,3.47,282301416.0,1.0,0
35,2004-10-08,3.47,3.5,3.43,3.45,3.45,221390388.0,1.0,0
36,2004-10-11,3.43,3.47,3.35,3.38,3.38,209442348.0,1.0,0
37,2004-10-12,3.36,3.44,3.34,3.44,3.44,233310456.0,1.0,0
38,2004-10-13,3.59,3.59,3.51,3.53,3.53,395324280.0,1.0,0
39,2004-10-14,3.53,3.56,3.47,3.55,3.55,208842948.0,1.0,0
40,2004-10-15,3.63,3.64,3.55,3.61,3.61,263895840.0,1.0,0
41,2004-10-18,3.58,3.73,3.53,3.73,3.73,280726992.0,1.0,0
42,2004-10-19,3.77,3.81,3.69,3.7,3.7,362197440.0,1.0,0
43,2004-10-20,3.7,3.73,3.49,3.52,3.52,454453092.0,1.0,1
44,2004-10-21,3.61,3.76,3.54,3.74,3.74,582996420.0,1.0,0
45,2004-10-22,4.27,4.51,4.11,4.32,4.32,1474200324.0,1.0,0
46,2004-10-25,4.41,4.87,4.32,4.69,4.69,1309257432.0,1.0,0
47,2004-10-26,4.66,4.82,4.5,4.55,4.55,891391716.0,1.0,0
48,2004-10-27,4.57,4.74,4.55,4.65,4.65,533725740.0,1.0,0
49,2004-10-28,4.67,4.86,4.64,4.84,4.84,593278128.0,1.0,0
50,2004-10-29,4.98,5.0,4.77,4.77,4.77,845653500.0,1.0,0
51,2004-11-01,4.84,4.95,4.79,4.91,4.91,488507004.0,1.0,2
52,2004-11-02,4.97,4.99,4.84,4.88,4.88,453398148.0,1.0,0
53,2004-11-03,4.96,5.05,4.77,4.8,4.8,554992452.0,1.0,0
54,2004-11-04,4.72,4.76,4.59,4.62,4.62,575807616.0,1.0,0
55,2004-11-05,4.55,4.56,4.22,4.24,4.24,792530676.0,1.0,0
56,2004-11-08,4.28,4.39,4.24,4.32,4.32,447224328.0,1.0,0
57,2004-11-09,4.36,4.38,4.14,4.22,4.22,442125432.0,1.0,0
58,2004-11-10,4.27,4.32,4.16,4.2,4.2,425334240.0,1.0,1
59,2004-11-11,4.23,4.6,4.19,4.58,4.58,598820580.0,1.0,0
60,2004-11-12,4.64,4.75,4.44,4.55,4.55,669174156.0,1.0,0
61,2004-11-15,4.52,4.71,4.47,4.63,4.63,475583940.0,1.0,2
62,2004-11-16,4.44,4.49,4.28,4.32,4.32,835859304.0,1.0,0
63,2004-11-17,4.23,4.44,4.23,4.32,4.32,724590684.0,1.0,0
64,2004-11-18,4.26,4.36,4.15,4.19,4.19,664518816.0,1.0,0
65,2004-11-19,4.23,4.25,4.17,4.24,4.24,350421228.0,1.0,0
66,2004-11-22,4.12,4.24,4.04,4.13,4.13,494233272.0,1.0,1
67,2004-11-23,4.2,4.28,4.17,4.19,4.19,496035468.0,1.0,0
68,2004-11-24,4.37,4.43,4.32,4.37,4.37,610628760.0,1.0,0
69,2004-11-26,4.4,4.51,4.39,4.49,4.49,258944796.0,1.0,0
70,2004-11-29,4.51,4.58,4.44,4.53,4.53,426237336.0,1.0,0
71,2004-11-30,4.52,4.58,4.51,4.55,4.55,307692000.0,1.0,2
72,2004-12-01,4.55,4.57,4.49,4.5,4.5,314249436.0,1.0,0
73,2004-12-02,4.5,4.54,4.47,4.49,4.49,250185564.0,1.0,0
74,2004-12-03,4.5,4.53,4.44,4.51,4.51,234533232.0,1.0,0
75,2004-12-06,4.48,4.52,4.4,4.41,4.41,249909840.0,1.0,0
76,2004-12-07,4.4,4.41,4.27,4.29,4.29,274561164.0,1.0,0
77,2004-12-08,4.26,4.35,4.22,4.25,4.25,301370328.0,1.0,1
78,2004-12-09,4.26,4.34,4.22,4.34,4.34,305853840.0,1.0,0
79,2004-12-10,4.34,4.38,4.29,4.3,4.3,172515312.0,1.0,0
80,2004-12-13,4.31,4.33,4.24,4.27,4.27,192551256.0,1.0,0
81,2004-12-14,4.28,4.47,4.24,4.47,4.47,443092464.0,1.0,0
82,2004-12-15,4.45,4.52,4.42,4.5,4.5,458381160.0,1.0,0
83,2004-12-16,4.43,4.52,4.4,4.42,4.42,342569088.0,1.0,0
84,2004-12-17,4.42,4.52,4.42,4.51,4.51,295152552.0,1.0,0
85,2004-12-20,4.55,4.72,4.55,4.63,4.63,392986620.0,1.0,0
86,2004-12-21,4.66,4.7,4.59,4.6,4.6,220431348.0,1.0,0
87,2004-12-22,4.6,4.68,4.58,4.66,4.66,156123720.0,1.0,0
88,2004-12-23,4.69,4.72,4.65,4.7,4.7,144439416.0,1.0,0
89,2004-12-27,4.73,4.84,4.73,4.8,4.8,243919836.0,1.0,0
90,2004-12-28,4.81,4.84,4.78,4.82,4.82,165666168.0,1.0,0
91,2004-12-29,4.8,4.84,4.8,4.83,4.83,107016876.0,1.0,0
92,2004-12-30,4.83,4.96,4.8,4.94,4.94,235935828.0,1.0,0
93,2004-12-31,4.99,5.0,4.82,4.82,4.82,306433260.0,1.0,0
94,2005-01-03,4.94,5.1,4.89,5.07,5.07,633134232.0,1.0,2
95,2005-01-04,5.04,5.08,4.84,4.87,4.87,549685764.0,1.0,0
96,2005-01-05,4.84,4.93,4.81,4.84,4.84,329134536.0,1.0,0
97,2005-01-06,4.88,4.9,4.7,4.72,4.72,415068516.0,1.0,1
98,2005-01-07,4.77,4.86,4.72,4.85,4.85,386129484.0,1.0,0
99,2005-01-10,4.87,4.96,4.8,4.88,4.88,301282416.0,1.0,0
100,2005-01-11,4.9,4.95,4.83,4.84,4.84,278069652.0,1.0,0
101,2005-01-12,4.86,4.9,4.77,4.89,4.89,326784888.0,1.0,0
102,2005-01-13,4.89,4.94,4.86,4.89,4.89,273702024.0,1.0,0
103,2005-01-14,4.9,5.01,4.86,5.0,5.0,385226388.0,1.0,0
104,2005-01-18,5.03,5.13,4.97,5.1,5.1,526377096.0,1.0,2
105,2005-01-19,5.12,5.14,4.92,4.94,4.94,449857692.0,1.0,0
106,2005-01-20,4.82,4.91,4.8,4.85,4.85,359703936.0,1.0,0
107,2005-01-21,4.87,4.89,4.71,4.71,4.71,369965664.0,1.0,0
108,2005-01-24,4.72,4.74,4.51,4.52,4.52,560347092.0,1.0,0
109,2005-01-25,4.55,4.56,4.41,4.43,4.43,425941632.0,1.0,1
110,2005-01-26,4.49,4.74,4.48,4.74,4.74,491823684.0,1.0,0
111,2005-01-27,4.72,4.73,4.63,4.71,4.71,264830904.0,1.0,0
112,2005-01-28,4.76,4.87,4.66,4.76,4.76,487839672.0,1.0,0
113,2005-01-31,4.85,4.91,4.8,4.9,4.9,383484132.0,1.0,0
114,2005-02-01,4.86,4.92,4.77,4.8,4.8,752806440.0,1.0,0
115,2005-02-02,5.39,5.43,5.1,5.15,5.15,1310660028.0,1.0,0
116,2005-02-03,5.15,5.34,5.15,5.28,5.28,519004476.0,1.0,2
117,2005-02-04,5.17,5.2,5.07,5.11,5.11,592179228.0,1.0,0
118,2005-02-07,5.14,5.17,4.89,4.91,4.91,517897584.0,1.0,0
119,2005-02-08,4.93,5.01,4.87,4.97,4.97,458740800.0,1.0,0
120,2005-02-09,5.02,5.05,4.74,4.79,4.79,686173140.0,1.0,0
121,2005-02-10,4.8,4.81,4.64,4.7,4.7,758548692.0,1.0,0
122,2005-02-11,4.67,4.81,4.66,4.69,4.69,524115360.0,1.0,1
123,2005-02-14,4.58,4.83,4.53,4.83,4.83,1540945512.0,1.0,0
124,2005-02-15,4.84,5.0,4.83,4.89,4.89,1030280688.0,1.0,0
125,2005-02-16,4.87,4.99,4.86,4.97,4.97,660630708.0,1.0,2
126,2005-02-17,4.95,5.0,4.93,4.95,4.95,416159424.0,1.0,0
127,2005-02-18,4.97,4.98,4.92,4.95,4.95,339096564.0,1.0,0
128,2005-02-22,4.92,4.98,4.76,4.79,4.79,538808652.0,1.0,0
129,2005-02-23,4.84,4.87,4.72,4.85,4.85,622816560.0,1.0,0
130,2005-02-24,4.59,4.75,4.56,4.73,4.73,1031539428.0,1.0,0
131,2005-02-25,4.73,4.75,4.64,4.65,4.65,398541060.0,1.0,0
132,2005-02-28,4.65,4.75,4.65,4.7,4.7,312423264.0,1.0,0
133,2005-03-01,4.74,4.75,4.55,4.66,4.66,372075552.0,1.0,0
134,2005-03-02,4.65,4.7,4.61,4.63,4.63,291128580.0,1.0,0
135,2005-03-03,4.66,4.7,4.61,4.68,4.68,304039656.0,1.0,0
136,2005-03-04,4.67,4.69,4.63,4.65,4.65,270693036.0,1.0,0
137,2005-03-07,4.7,4.74,4.68,4.72,4.72,346349304.0,1.0,2
138,2005-03-08,4.73,4.75,4.63,4.63,4.63,321522156.0,1.0,0
139,2005-03-09,4.61,4.62,4.51,4.54,4.54,453961584.0,1.0,0
140,2005-03-10,4.53,4.53,4.44,4.5,4.5,437981580.0,1.0,0
141,2005-03-11,4.52,4.53,4.43,4.45,4.45,320810868.0,1.0,0
142,2005-03-14,4.46,4.46,4.32,4.38,4.38,445418136.0,1.0,1
143,2005-03-15,4.39,4.5,4.36,4.47,4.47,416467116.0,1.0,0
144,2005-03-16,4.42,4.47,4.38,4.39,4.39,283967748.0,1.0,0
145,2005-03-17,4.43,4.5,4.4,4.49,4.49,330093576.0,1.0,0
146,2005-03-18,4.47,4.51,4.46,4.51,4.51,283316400.0,1.0,0
147,2005-03-21,4.49,4.56,4.44,4.53,4.53,299048652.0,1.0,0
148,2005-03-22,4.53,4.55,4.45,4.47,4.47,225042732.0,1.0,0
149,2005-03-23,4.45,4.51,4.45,4.48,4.48,193606200.0,1.0,0
150,2005-03-24,4.52,4.53,4.48,4.49,4.49,148059792.0,1.0,0
151,2005-03-28,4.55,4.62,4.53,4.54,4.54,349170480.0,1.0,0
152,2005-03-29,4.53,4.59,4.46,4.49,4.49,258661080.0,1.0,0
153,2005-03-30,4.52,4.54,4.49,4.52,4.52,249194556.0,1.0,0
154,2005-03-31,4.45,4.54,4.45,4.52,4.52,270473256.0,1.0,0
155,2005-04-01,4.55,4.58,4.5,4.51,4.51,247032720.0,1.0,0
156,2005-04-04,4.5,4.64,4.5,4.64,4.64,322732944.0,1.0,0
157,2005-04-05,4.7,4.76,4.69,4.72,4.72,349118532.0,1.0,0
158,2005-04-06,4.74,4.75,4.69,4.74,4.74,209893896.0,1.0,0
159,2005-04-07,4.72,4.87,4.72,4.85,4.85,387300312.0,1.0,2
160,2005-04-08,4.85,4.88,4.79,4.81,4.81,204459336.0,1.0,0
161,2005-04-11,4.83,4.87,4.81,4.84,4.84,216203580.0,1.0,0
162,2005-04-12,4.83,4.87,4.74,4.85,4.85,292491216.0,1.0,0
163,2005-04-13,4.84,4.86,4.75,4.83,4.83,261969768.0,1.0,0
164,2005-04-14,4.84,4.86,4.76,4.79,4.79,245861892.0,1.0,0
165,2005-04-15,4.76,4.76,4.62,4.63,4.63,462632904.0,1.0,1
166,2005-04-18,4.62,4.7,4.59,4.68,4.68,261749988.0,1.0,0
167,2005-04-19,4.74,4.8,4.71,4.79,4.79,336862800.0,1.0,0
168,2005-04-20,4.97,5.02,4.9,4.96,4.96,617441940.0,1.0,0
169,2005-04-21,5.02,5.13,4.99,5.11,5.11,709365924.0,1.0,0
170,2005-04-22,5.58,5.61,5.36,5.4,5.4,1326875796.0,1.0,0
171,2005-04-25,5.45,5.62,5.44,5.59,5.59,792806400.0,1.0,2
172,2005-04-26,5.51,5.56,5.46,5.47,5.47,690189120.0,1.0,0
173,2005-04-27,5.46,5.53,5.42,5.5,5.5,410181408.0,1.0,0
174,2005-04-28,5.49,5.56,5.45,5.49,5.49,346964688.0,1.0,0
175,2005-04-29,5.55,5.56,5.45,5.51,5.51,366441192.0,1.0,0
176,2005-05-02,5.56,5.6,5.51,5.56,5.56,390305304.0,1.0,0
177,2005-05-03,5.55,5.71,5.54,5.66,5.66,710496792.0,1.0,0
178,2005-05-04,5.69,5.75,5.68,5.72,5.72,482856660.0,1.0,0
179,2005-05-05,5.72,5.72,5.65,5.68,5.68,300083616.0,1.0,0
180,2005-05-06,5.72,5.74,5.67,5.71,5.71,270285444.0,1.0,0
