,Date,Open,High,Low,Close,Adj Close,Volume,adjustRatio,Label
0,2004-04-12,159.71,161.18,89.29,160.12,89.62,3255780,1.79,-1
1,2004-04-13,160.2,160.61,88.43,158.91,88.95,5244226,1.79,-1
2,2004-04-14,157.31,160.31,88.05,160.04,89.58,5560850,1.79,-1
3,2004-04-15,160.19,160.69,88.97,159.6,89.34,7159033,1.79,-1
4,2004-04-16,157.65,157.73,87.04,157.61,88.22,11629428,1.79,-1
5,2004-04-19,156.97,157.65,87.67,157.04,87.9,4350732,1.79,0
6,2004-04-20,157.12,157.94,86.66,154.81,86.66,4456169,1.79,0
7,2004-04-21,155.7,156.17,86.7,155.9,87.25,4836076,1.79,0
8,2004-04-22,154.56,156.3,85.76,154.97,86.75,8355448,1.79,0
9,2004-04-23,155.42,156.46,86.39,155.91,87.27,5296107,1.79,0
10,2004-04-26,155.0,156.37,86.38,154.45,86.45,4742146,1.79,0
11,2004-04-27,154.83,157.12,86.58,155.62,87.1,4987328,1.79,0
12,2004-04-28,154.23,155.39,86.24,154.41,86.43,4922476,1.79,0
13,2004-04-29,153.72,154.15,84.31,152.13,85.16,8120307,1.79,0
14,2004-04-30,152.04,152.36,84.14,150.59,84.29,5250397,1.79,0
15,2004-05-03,150.52,151.2,83.37,150.34,84.15,6349325,1.79,0
16,2004-05-04,150.33,153.26,84.13,152.01,85.09,5702583,1.79,0
17,2004-05-05,153.3,153.3,84.62,151.96,85.05,4604806,1.79,0
18,2004-05-06,150.17,151.86,83.74,150.59,84.47,4517779,1.78,0
19,2004-05-07,149.56,152.38,83.77,150.31,84.31,5656140,1.78,0
20,2004-05-10,149.34,150.2,82.57,148.11,83.06,7000250,1.78,0
21,2004-05-11,148.65,150.25,83.0,148.52,83.3,6877450,1.78,0
22,2004-05-12,148.7,148.7,81.38,147.96,82.99,8834307,1.78,0
23,2004-05-13,147.94,149.01,82.47,148.64,83.36,4924986,1.78,0
24,2004-05-14,147.71,148.9,82.28,147.3,82.61,5436899,1.78,0
25,2004-05-17,145.41,146.65,81.41,145.8,81.77,5962200,1.78,1
26,2004-05-18,146.71,147.43,82.22,146.7,82.28,4603551,1.78,0
27,2004-05-19,148.97,151.48,82.7,148.36,83.22,7773663,1.78,0
28,2004-05-20,148.42,149.93,83.22,149.04,83.58,4216949,1.78,0
29,2004-05-21,149.31,150.3,83.09,148.52,83.3,5365980,1.78,0
30,2004-05-24,149.58,149.74,82.74,148.48,83.27,3951893,1.78,0
31,2004-05-25,147.87,151.57,82.74,151.2,84.8,5604573,1.78,2
32,2004-05-26,151.09,151.45,84.17,150.59,84.46,4506377,1.78,0
33,2004-05-27,151.28,151.84,84.11,151.0,84.69,4282952,1.78,0
34,2004-05-28,150.82,151.44,84.37,151.0,84.69,3351175,1.78,0
35,2004-06-01,149.99,150.81,83.46,150.19,84.24,5108978,1.78,0
36,2004-06-02,151.1,151.1,84.02,149.98,84.11,4092580,1.78,0
37,2004-06-03,149.74,150.17,83.51,148.89,83.51,3150029,1.78,1
38,2004-06-04,149.91,150.84,83.65,149.25,83.71,3978356,1.78,0
39,2004-06-07,151.28,151.69,84.14,151.08,84.74,4460667,1.78,0
40,2004-06-08,151.09,154.26,84.51,153.47,86.08,5648714,1.78,0
41,2004-06-09,153.24,154.34,85.86,153.56,86.13,5474136,1.78,0
42,2004-06-10,153.81,154.7,85.94,154.2,86.48,3628260,1.78,0
43,2004-06-14,153.48,154.39,85.68,153.52,86.11,4310984,1.78,0
44,2004-06-15,154.24,155.47,86.26,154.33,86.56,4715682,1.78,2
45,2004-06-16,153.85,155.01,86.13,154.08,86.41,3290402,1.78,0
46,2004-06-17,154.27,154.38,86.11,154.16,86.46,4372489,1.78,0
47,2004-06-18,153.75,154.78,85.95,153.51,86.1,6768457,1.78,0
48,2004-06-21,154.09,154.14,85.38,152.54,85.55,4020196,1.78,0
49,2004-06-22,152.17,153.81,85.21,153.44,86.06,4340168,1.78,0
50,2004-06-23,153.59,154.86,85.89,154.77,86.8,4555016,1.78,2
51,2004-06-24,153.89,154.98,85.89,153.39,86.03,4256592,1.78,0
52,2004-06-25,153.3,153.78,85.03,152.63,85.61,5862516,1.78,0
53,2004-06-28,152.9,153.24,84.47,151.2,84.81,4626667,1.78,0
54,2004-06-29,150.6,150.85,84.03,150.51,84.41,4596961,1.78,0
55,2004-06-30,150.5,150.84,83.84,150.23,84.27,4941304,1.78,0
56,2004-07-01,150.47,150.74,82.76,149.13,83.65,5328219,1.78,0
57,2004-07-02,149.05,149.23,82.79,148.36,83.21,3006727,1.78,0
58,2004-07-06,147.46,147.85,81.39,146.08,81.93,6702873,1.78,0
59,2004-07-07,145.42,146.51,81.31,145.51,81.6,5938456,1.78,0
60,2004-07-08,144.89,144.91,79.9,142.59,79.97,7875334,1.78,1
61,2004-07-09,143.87,144.03,79.84,143.0,80.2,6898579,1.78,0
62,2004-07-12,143.2,145.32,79.75,143.36,80.4,6285623,1.78,0
63,2004-07-13,146.42,146.74,81.45,145.31,81.5,6277046,1.78,0
64,2004-07-14,144.62,145.29,80.1,143.4,80.43,6588336,1.78,0
65,2004-07-15,143.42,144.27,79.93,143.24,80.33,7412479,1.78,0
66,2004-07-16,146.68,147.41,80.57,143.65,80.57,10921704,1.78,0
67,2004-07-19,144.02,146.32,80.69,145.4,81.55,6899416,1.78,0
68,2004-07-20,145.94,147.42,81.55,147.19,82.56,5911260,1.78,2
69,2004-07-21,147.86,148.48,81.55,145.4,81.55,5788564,1.78,0
70,2004-07-22,144.88,147.27,80.96,146.7,82.28,6247340,1.78,0
71,2004-07-23,146.07,146.69,80.78,144.63,81.12,4507632,1.78,0
72,2004-07-26,144.62,145.87,80.79,145.03,81.35,4725305,1.78,0
73,2004-07-27,145.91,147.08,81.69,146.37,82.1,4287031,1.78,0
74,2004-07-28,146.38,147.08,81.15,146.33,82.07,6868245,1.78,0
75,2004-07-29,147.0,148.64,82.44,147.88,82.95,4426986,1.78,0
76,2004-07-30,147.35,148.97,82.59,148.4,83.24,3669891,1.78,2
77,2004-08-02,148.09,148.98,82.62,147.79,82.88,3565186,1.78,0
78,2004-08-03,147.78,147.94,81.68,146.09,81.94,4337971,1.78,0
79,2004-08-04,145.39,147.69,81.5,146.53,82.19,4351988,1.78,0
80,2004-08-05,146.53,147.3,81.27,145.19,81.44,4058375,1.78,0
81,2004-08-06,143.52,144.16,79.75,141.99,79.81,5459283,1.78,0
82,2004-08-09,142.02,142.84,79.23,142.14,79.88,3787671,1.78,0
83,2004-08-10,142.88,144.55,80.12,144.55,81.25,4551146,1.78,0
84,2004-08-11,142.37,142.85,79.45,142.35,80.01,5531248,1.78,0
85,2004-08-12,141.27,141.27,78.3,139.83,78.59,7463105,1.78,1
86,2004-08-13,140.39,142.77,78.88,142.72,80.22,6068787,1.78,0
